idx,partition,spk_a,utt_a,spk_b,utt_b,snr_a,snr_b,dur_sec,wav_a,wav_b,mp4_a,out_wav,out_mp4
10,test,第一批_5%_vg0100,312d0b75-2fa6-4012-9d85-b706ed345d61,part_20000-25000_vg0084,0b933baf-fe79-43b0-b5d8-b6a488b80e5b,0.000000,-3.671074,6.037,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/312d0b75-2fa6-4012-9d85-b706ed345d61.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/0b933baf-fe79-43b0-b5d8-b6a488b80e5b.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/312d0b75-2fa6-4012-9d85-b706ed345d61.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0010.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0010.mp4
11,train,part_25000-30000_vg0080,17cbe158-379d-472a-a745-7d267d10a1d4,part_10000-15000_vg0023,279bda50-f0a0-4937-8ef2-0f3ae5da989b,0.000000,-4.908756,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_25000-30000/17cbe158-379d-472a-a745-7d267d10a1d4.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_10000-15000/279bda50-f0a0-4937-8ef2-0f3ae5da989b.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_25000-30000/17cbe158-379d-472a-a745-7d267d10a1d4.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0011.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0011.mp4
12,train,part_50000-60000_vg0036,5d35d486-beec-4b62-8ccf-79686536a05a,part_10000-15000_vg0026,2824918e-bf3b-4d25-846f-007258d1df78,0.000000,-3.768446,5.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5d35d486-beec-4b62-8ccf-79686536a05a.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_10000-15000/2824918e-bf3b-4d25-846f-007258d1df78.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/5d35d486-beec-4b62-8ccf-79686536a05a.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0012.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0012.mp4
13,train,part_00000-05000_vg0002,0066b9af-e5cd-4dd0-b438-d46a7a446ae1,part_40000-50000_vg0106,461c1581-2016-4646-bcaf-00ba4393404b,0.000000,-5.518759,29.768,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0066b9af-e5cd-4dd0-b438-d46a7a446ae1.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/461c1581-2016-4646-bcaf-00ba4393404b.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0066b9af-e5cd-4dd0-b438-d46a7a446ae1.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0013.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0013.mp4
14,test,第二批_5%_vg0223,ef76df44-af33-4d2e-a3c6-b2dc1e5fcfa5,part_00000-05000_vg0010,01d17fa9-2c0a-4f29-afc2-95a012cd63ac,0.000000,-4.700518,20.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/ef76df44-af33-4d2e-a3c6-b2dc1e5fcfa5.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/01d17fa9-2c0a-4f29-afc2-95a012cd63ac.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/ef76df44-af33-4d2e-a3c6-b2dc1e5fcfa5.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0014.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0014.mp4
15,train,part_80000-85000_vg0021,70052cce-9790-43a6-9761-8d8dc7d948ee,part_20000-25000_vg0057,0842f36c-d04b-4db4-8530-6e6f90ec8c78,0.000000,-5.760770,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/70052cce-9790-43a6-9761-8d8dc7d948ee.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/0842f36c-d04b-4db4-8530-6e6f90ec8c78.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_80000-85000/70052cce-9790-43a6-9761-8d8dc7d948ee.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0015.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0015.mp4
16,train,第二批_5%_vg0083,aa004988-023f-40f8-bb99-5f10232d3be3,part_80000-85000_vg0006,6e1a91d6-700b-44d3-bfaa-26041cb4f3c9,0.000000,-3.891942,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/aa004988-023f-40f8-bb99-5f10232d3be3.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/6e1a91d6-700b-44d3-bfaa-26041cb4f3c9.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/aa004988-023f-40f8-bb99-5f10232d3be3.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0016.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0016.mp4
17,train,part_75000-80000_vg0054,67f9fd1e-aa5d-4689-9531-7750f88cf16a,第二批_5%_vg0184,dca99fbc-c484-42aa-9aac-0c1edf4139ef,0.000000,-4.696359,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_75000-80000/67f9fd1e-aa5d-4689-9531-7750f88cf16a.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/dca99fbc-c484-42aa-9aac-0c1edf4139ef.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_75000-80000/67f9fd1e-aa5d-4689-9531-7750f88cf16a.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0017.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0017.mp4
18,train,part_05000-10000_vg0028,16e688ad-f89e-40db-91db-cfd9472da2a3,第二批_5%_vg0123,bd9a5f2a-e553-41f4-949d-a5ec23a9ba0a,0.000000,-5.374819,25.170,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_05000-10000/16e688ad-f89e-40db-91db-cfd9472da2a3.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/bd9a5f2a-e553-41f4-949d-a5ec23a9ba0a.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_05000-10000/16e688ad-f89e-40db-91db-cfd9472da2a3.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0018.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0018.mp4
19,train,part_05000-10000_vg0023,15f84dc7-37e3-4bb8-86e4-bf22cbcc4d8f,part_70000-75000_vg0060,5bec78e3-da22-469c-b60c-365cfed55e43,0.000000,-4.834488,9.985,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_05000-10000/15f84dc7-37e3-4bb8-86e4-bf22cbcc4d8f.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_70000-75000/5bec78e3-da22-469c-b60c-365cfed55e43.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_05000-10000/15f84dc7-37e3-4bb8-86e4-bf22cbcc4d8f.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0019.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0019.mp4
20,train,part_00000-05000_vg0069,0c91c6b4-ac33-45d6-8978-efe9f57faa94,part_85000-90000_vg0030,7d6b88e1-7682-4cd0-ad8c-1cae320aa17a,0.000000,-5.846713,9.079,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0c91c6b4-ac33-45d6-8978-efe9f57faa94.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/7d6b88e1-7682-4cd0-ad8c-1cae320aa17a.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0c91c6b4-ac33-45d6-8978-efe9f57faa94.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0020.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0020.mp4
21,train,part_00000-05000_vg0080,0e7dde67-1c40-4636-b2ff-66382a3be816,part_00000-05000_vg0053,09b996ee-6d0e-4adc-b795-271598732352,0.000000,-5.960492,9.985,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0e7dde67-1c40-4636-b2ff-66382a3be816.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/09b996ee-6d0e-4adc-b795-271598732352.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0e7dde67-1c40-4636-b2ff-66382a3be816.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0021.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0021.mp4
22,test,part_05000-10000_vg0056,1c1094bd-dffb-4284-88b6-b20e9eeb2485,part_90000-95000_vg0097,92689949-686e-42c0-92c2-47069d75df83,0.000000,-4.293882,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_05000-10000/1c1094bd-dffb-4284-88b6-b20e9eeb2485.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_90000-95000/92689949-686e-42c0-92c2-47069d75df83.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_05000-10000/1c1094bd-dffb-4284-88b6-b20e9eeb2485.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0022.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0022.mp4
23,train,part_15000-20000_vg0035,39cd98ad-fe68-4dea-a1cf-d782dca8a5f3,part_40000-50000_vg0000,3294842e-40ba-4397-abaf-feb038cf154d,0.000000,-3.718284,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_15000-20000/39cd98ad-fe68-4dea-a1cf-d782dca8a5f3.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/3294842e-40ba-4397-abaf-feb038cf154d.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_15000-20000/39cd98ad-fe68-4dea-a1cf-d782dca8a5f3.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0023.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0023.mp4
24,train,part_00000-05000_vg0072,0d214b20-e59b-467f-9599-c2b5e4d7b17c,第二批_5%_vg0057,9cf655e9-2e3c-486c-979d-f0d797ea945f,0.000000,-3.703695,20.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0d214b20-e59b-467f-9599-c2b5e4d7b17c.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/9cf655e9-2e3c-486c-979d-f0d797ea945f.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0d214b20-e59b-467f-9599-c2b5e4d7b17c.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0024.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0024.mp4
25,test,part_50000-60000_vg0048,5f50fb07-7fbe-47ce-bdad-9f67986da714,part_85000-90000_vg0059,81166f0e-5fac-4f8c-9f7c-8acd59932f85,0.000000,-4.812318,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5f50fb07-7fbe-47ce-bdad-9f67986da714.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/81166f0e-5fac-4f8c-9f7c-8acd59932f85.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/5f50fb07-7fbe-47ce-bdad-9f67986da714.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0025.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0025.mp4
26,val,part_30000-35000_vg0025,1d335399-8e12-492a-b4dc-986ed3197d47,part_50000-60000_vg0016,597f59f4-048b-4fd3-bc28-5943d3dae22b,0.000000,-4.920290,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_30000-35000/1d335399-8e12-492a-b4dc-986ed3197d47.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/597f59f4-048b-4fd3-bc28-5943d3dae22b.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_30000-35000/1d335399-8e12-492a-b4dc-986ed3197d47.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0026.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0026.mp4
27,train,part_40000-50000_vg0081,3d1b7876-0efb-4380-a721-41950f078a74,第一批_5%_vg0144,46c76ae3-0eef-4326-a8ab-71679fefdba9,0.000000,-5.315445,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/3d1b7876-0efb-4380-a721-41950f078a74.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/46c76ae3-0eef-4326-a8ab-71679fefdba9.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_40000-50000/3d1b7876-0efb-4380-a721-41950f078a74.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0027.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0027.mp4
28,train,part_50000-60000_vg0071,637e8699-9e30-4324-a7ed-4082b57bf2c1,part_80000-85000_vg0074,768d8012-61b6-4fe4-8bc1-32722d47540f,0.000000,-4.892009,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/637e8699-9e30-4324-a7ed-4082b57bf2c1.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/768d8012-61b6-4fe4-8bc1-32722d47540f.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/637e8699-9e30-4324-a7ed-4082b57bf2c1.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0028.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0028.mp4
